reviewId,userName,content,score
gp:AOqpTOEKcTD_Q8Q4CfDUpFVPJZ-IY7aYZxhnKUWNf6tKcnYoE2QglPEnRKYUuHdoSwHqewVV44YJa-tur0j60ro,Lia Binetti,Doesn't seem to work,1
gp:AOqpTOHAxv2GmXQUH5JOJur7oFzIeYz6zLXrCUReRKtzmxotpRSe4_FkVVK2-ZzhS8AXlMpQp8cEIsiMj5FoxJ8,Enrico DiNatale,"Slows phone, runs slow, takes up internal memory. My phone has little internal memory, Can it be moved to external memory?",2
gp:AOqpTOFvZ_4WBpwshoTI0iiWxFqP3qPy8n7FDB5f90AlU3STHgtjAN2wmW_UjQr2FElYsK1eKNqwMDLHM_2jNOU,Dorothy Beatrice,"I get multiple alerts for the same event. After I acknowledge an alert, then it is right back listed asa new event. Frustrating and annoying.",1
gp:AOqpTOHtj5x5DTLwatpXu7hs19UZa9J0Y6-JpGLxirKMF02TE1wFHCvJkKv1ePaMjfrnEBtl9XBX9ERA6If8a6Q,Beth Palaj,"Just updated, won't even open.",1
gp:AOqpTOHaXLY9GucSVyjPAuNIwQFL7EnOrPTkaM-7zH70kTt_Q1BAsycltROZHXh5yBc1-0Ty_yuF0MbgnJGPEXI,Gloria Wilhelm,Good,5
gp:AOqpTOHG0GLLECkFse52GdQOmQL9LBsNwHpshOsruWnraGKNBPYmO5LWN3DSlJWlrFkc1Drc393Uh7qM-O8T1jA,john whitacre,It's a great idea but far too difficult to setup. I couldn't figure it out.,2
gp:AOqpTOGFg6Byz6S7rzNhVIcQzjxvsIQMXYUCebWaHNu66eyCLeHJLuzWVplqDWSuu12BUOKvAc5ZcoP0ehbXe8E,SD Saw,"Got switch over notice from local emergency svc, so signed up No logout option? Did setup once, then it sent code, had to start over.",2
gp:AOqpTOFMUF-gY7EdHtiRkiOK8WA-42uzhMu0VrP8DpmsvoOfcKTwwVWqfX02_xMbqjiO2thhh_-tEwLhwNQCXkA,Mark Krauss,"N.34, nnk , and Mmw56 m v.",4
gp:AOqpTOGTGJ3b8yYL56ubsD9A83XIBkE9bKWQHgaDMEWK5lEeQ0yibpOoPzjmGgdIYUbH5_ECNQH6Jv5h9YWazUM,Jim Tatol,Useless,1
gp:AOqpTOExrtZt4QfVrDyV2YeSwLwIu-9t6moqPcBFq2fqDX7sgneG6ImZrHU4RrGrxwsmuWGg_JM-KdLKvpmrGN0,Franklin Mcclure,"Asked for my code 3 times, have not received the code yet?",1
gp:AOqpTOFgfcuEASPgG9stqhpDqsBYPqf8YkuE4XFm850GqyWnexB9CKH4CP4tdwXUbjNmiOOPjorN-d0CYW4tDmw,Sandy G,"We had a storm go through last night and I've been getting hail alerts all night and still this morning even though there are no storms in the area. Besides an alert, I get an email notification a few minutes later so it seems my phone has been going off all night long, keeping me awake. I want to keep this app for emergency notifications but not if it's going to keep me from getting any sleep.",3
gp:AOqpTOFQGXSjOOnimgu6efdMrbdcYTLPxJg1Qh2iNqM9NoJ9HyT8X7QnJOnYkJrYShR-1hf1y9CiZPFIftYp4iI,Doug Kerr,"To delete old messages there are two options. DELETE ALL and SELECT AND DELET. When I use SELECT AND DELETE the top items select box is covered by the dialog box. This makes it impossible to select or unselect the most recent event. If I use the SELECT ALL option then the most recent event can't be unselected. I also don't like the way it showes ""open"" at the top of the detail screen when it is telling about a road closure. I have to remember to check bottom of screen.",3
gp:AOqpTOFsh-e5gUrujeCB9o5dAtB_FheI7fwjBGZfGHkLIxnQJXrinuQSYIcyhJIlgNvLLoz5F9ob7oxtnNhixWk,Vlad Dragusin,horrible,1
gp:AOqpTOFACadnPV6NWty9H2XQkT4j120y6UY8h1BHIDMCbw6YTkbXcrRZjy06tNzNaBdfRzJQJ6FwKpxYVhi1qAU,Chrissie Albright,It won't let me subscribe to ANYTHING!!! And it appears that it failed to notify anyone during the Alemeda Fire in Oregon (September 2020) This app is a disgrace.,1
gp:AOqpTOFmjYzAoj9GSBQ1SP7vKp2c7d3q92uWa3ZXTZT0GiT3ga0YoYfigvQMTLcM9JjTeGmaOQOLhALP6bkL1w8,Kathy Hester,Have tried to sign up on my phone and tablet neither work?,1
gp:AOqpTOHdoa1Qkr229wfNhO9OU_o3nEGHZhvmPiaKivJY9SJPe34TD8PCm7UMtuFmz95N2ZxPJpEPRykf10WpdSI,S Kang,"Confusing setup - New user, no alerts yet. Was directed from local emergency services. If you click on the link saying you were getting texts from some number. Even if it's not the same number. Put in your cell phone number. Put in the verification code. Search by your zip code (don't bother with name or city). You may have to try a couple local zip codes. Then subscribe to the closest service. It will trigger some texts.",3
gp:AOqpTOGdAMSWvzU3K_W6TjxgZZEBOxWtNFtxGinV5i04D7u0swoE0WmxBgGpvS3hoR4Qtxg3ybbct-dlwvQ7f54,Jaz Volp,No where to sign up on app. When I sign up online with all my info and then go in in app to receive text messages it keeps saying I am not signed up. Online it has Contact Bridge but says I'm not logged in when I am actually logged into my account. Stupid all the way around.,1
gp:AOqpTOF9IDK-IupDjT_58Pv7zrfBdpEsDwCFj1sDL8rxvOxXCQScjQWM5zsnwhCWghVJRoNNN5SrT-A2baIEQwA,Axel Kratel,Would give it 5 stars if it wasn't for the fact that there's no way to login to an account previously setup. When switching phones one has to sign up all over with new username.,1
gp:AOqpTOGTIXNk75bsc_erxSeLLqyr5zrHI4WZRDVX2MV0uADtUwiyuMmFeQtqWiRo-MFoA0zx5XuXpioU1Ippp5s,Kathleen Bennett,Have gotten over 100 hail alerts in the past 24 hours......no way to shut them off.....horrible!,1
gp:AOqpTOFV6R2m3P2N3DYT5zo8BlyiDlE2ivqf3kBxoD79ThRow8ZTeh6Ic1ZNxmH1Om9f1F7CO5m87-l9LSyG7Hk,David Nelson,Love Everbridge!!,5
gp:AOqpTOHRUtfCEIkImfpuyvZr8CqTTB0eAGS8tPoWjdB6ETUQmrpbFPK0KgZX-w4P3RBbLCnSt1IyP6lAejVrufA,Kent McConnell,"Kept getting notifications about voice-mail with no way to play them. Couldn't figure out how to cancel subscriptions either, and I work in IT.",1
gp:AOqpTOHs9WhMmCN-FkVz7Xl3K9c4ntZaKDZ7u-p26EOn-GKG7saMWoUdnFFIBweQi792ojQKflFmcrLMtZEnz-0,Anthony Rosario,"Horrible, it is not user friendly, waste of space on a phone, CUNY why are still using the app if the governor stated you only need to be vaccinated to enter a CUNY school",1
gp:AOqpTOE1bqUDYPv5af1wsuviA7fov3OkexrrJIWBfXH-Ma6jJsJQW20Z1u3SJ3KGFuetObYbD8e4Inlzw1FuQPs,Marvin DeVore,Uninstalled this app and still kept getting weather reports about every 15 minutes that wasn't even close to right.,1
gp:AOqpTOGYx4NefNhu59vaVBJAJwNJSGkK_8t_RoE5ubVciGyOSjU6mITVpRFJZncm_C9vsswHiTBKTkk82aoVUDI,john klang klanglikeabell@sti.net,Great that they send these alerts but baffling why they think people know where something is by giving road names. I've suggested that they either link it to a map or say it is approximately 15 miles southwest of Ahwahnee or something like that. They can't seem to get that done. Sad.,3
gp:AOqpTOFVJKDEvOJ738AoSal10G9zR2rh8mOr92nS5cEA3LxzdrdhWQLE6ids2LRBWx1Zl1fVvfIQd7kZSoUnwKA,L. Sullivan,Not clear or user-friendly.,2
gp:AOqpTOFkPdIUE8frZkiBTsuJoBW9GuYIiXU3sEotzKK9hYg2h7uX82MkFbx_0kBLVs5ZeKKVwo4VaZ3vP7dMoBI,Darrell Wolf,I ONLY WANT LOCAL DATA,1
gp:AOqpTOEBZzLU3TbuxrVWPs3Fy74QKeQcSclRy6UyubykM7ETpxtB5xUix23NkUlbDckE6ed4P6paLTwjguZ15WE,Robin W,Won't even open,1
gp:AOqpTOHYIo14aSHuaZ7OzMvA2MNGPbhURWjhK-cJ2_4pBhxPVYuvbLo4qLtLNSezcN_8GYECf5GGVoV16mWYxN0,Debra Anderson,Went to incorrect location.,1
gp:AOqpTOGv4eLR3f47euVH3Ygd8b2FCciFGZhaAVyn8gcoEA1-cOBOl2s0a5nytTqhDKn5t8jMJCWtzXM3XCqBZ0E,Sebastian Broncano,Can't even login. I changed my password 3 times already,1
gp:AOqpTOEdThVR3myaQPmDx8bQIgpFl9qxElqfTRuBm_3Mhi7gs5kFnH50y5npK_4kB8Ore-2fSKmoaBjWvAI5880,Tim Gilbert,Totally useless app. Tried to download it four times. Can't open it.,1
gp:AOqpTOH1v-Pml0KM8ldsvG_FTT3kj5jkaFntGx-kZItm22vZ7JmT_yt3Ib1-GBZxJAXFFIyPY3OLGILPROA2Qgk,Elaine Sanders,"Failed to find my location by zip code, city name, sheriff's department, home address, or work address. It's useless to me. Uninstalled after 10 minutes of trying different options.",1
gp:AOqpTOEhRKT4UMYO98UNiwwVgmN-UD4t7a6lRlf61qQsCKWCJf0qRNM82uDmY_LXf9unTsAoete8r5ufxshCfoU,Patricia Kalamon,This app keeps stopping,1
